ID,Topic,Subtopic,Question,Answer,Concept Explanation,Difficulty (1-5),Units Involved,Formula Used,Reasoning
513,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,3,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
514,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,4,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
515,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,2,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
516,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,4,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
517,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'P = W/t' in Work, Power, Energy.","The formula 'P = W/t' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",4,"J, W, kg, m, s",P = W/t,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
518,Mechanics,Kinematics,An object starts with initial velocity 47 m/s and accelerates at 6.58 m/s² for 9 seconds. Find its final velocity.,v = u + at = 47 + 6.58×9 = 106.18 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",4,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
519,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'KE = 0.5mv^2' in Work, Power, Energy.","The formula 'KE = 0.5mv^2' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",5,"J, W, kg, m, s",KE = 0.5mv^2,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
520,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,4,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
521,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
522,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 9.96 kg of water by 14°C.,Q = mcΔT = 9.96 × 4.18 × 14 = 582.58 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",3,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
523,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
524,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
525,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
526,Mechanics,Kinematics,An object starts with initial velocity 34 m/s and accelerates at 6.80 m/s² for 10 seconds. Find its final velocity.,v = u + at = 34 + 6.80×10 = 102.01 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",3,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
527,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
528,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,4,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
529,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
530,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,4,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
531,Mechanics,Dynamics,Calculate the force required to accelerate a 55 kg object at 5.54 m/s².,F = ma = 55 × 5.54 = 304.46 N,Newton's Second Law relates force with mass and acceleration.,3,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
532,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,4,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
533,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,4,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
534,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
535,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,2,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
536,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
537,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,5,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
538,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
539,Mechanics,Dynamics,Calculate the force required to accelerate a 87 kg object at 7.70 m/s².,F = ma = 87 × 7.70 = 670.08 N,Newton's Second Law relates force with mass and acceleration.,2,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
540,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,3,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
541,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,5,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
542,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'PE = mgh' in Work, Power, Energy.","The formula 'PE = mgh' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",3,"J, W, kg, m, s",PE = mgh,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
543,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,2,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
544,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
545,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
546,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,2,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
547,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
548,Mechanics,Dynamics,Calculate the force required to accelerate a 4 kg object at 7.57 m/s².,F = ma = 4 × 7.57 = 30.27 N,Newton's Second Law relates force with mass and acceleration.,2,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
549,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,2,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
550,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
551,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,3,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
552,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 5.37 kg of water by 56°C.,Q = mcΔT = 5.37 × 4.18 × 56 = 1257.81 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",4,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
553,Mechanics,Kinematics,Derive and explain the significance of the formula 's = ut + 0.5at^2' in Kinematics.,The formula 's = ut + 0.5at^2' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,2,"m, s",s = ut + 0.5at^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
554,Mechanics,Kinematics,An object starts with initial velocity 2 m/s and accelerates at 1.83 m/s² for 3 seconds. Find its final velocity.,v = u + at = 2 + 1.83×3 = 7.50 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",3,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
555,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,5,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
556,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,2,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
557,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,3,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
558,Mechanics,Kinematics,Derive and explain the significance of the formula 'v^2 = u^2 + 2as' in Kinematics.,The formula 'v^2 = u^2 + 2as' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,3,"m, s",v^2 = u^2 + 2as,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
559,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,2,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
560,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,3,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
561,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
562,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 2.74 kg of water by 33°C.,Q = mcΔT = 2.74 × 4.18 × 33 = 378.64 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",2,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
563,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
564,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,5,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
565,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
566,Mechanics,Dynamics,Calculate the force required to accelerate a 99 kg object at 6.82 m/s².,F = ma = 99 × 6.82 = 675.38 N,Newton's Second Law relates force with mass and acceleration.,3,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
567,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,3,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
568,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'N3L: F_AB = -F_BA' in Laws of Motion.,The formula 'N3L: F_AB = -F_BA' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,4,"N, kg, m/s^2",N3L: F_AB = -F_BA,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
569,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,4,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
570,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,5,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
571,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,5,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
572,Mechanics,"Work, Power, Energy",A force of 148 N moves an object by 83 m. Calculate the work done.,W = Fd = 148 × 83 = 12284 J,Work is defined as the force applied over a displacement.,3,"J, W, kg, m, s",W = Fd,"This assumes force and displacement are in the same direction. If not, cosine of the angle between them would be included."
573,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
574,Mechanics,Laws of Motion,Derive and explain the significance of the formula 'F_net = ma' in Laws of Motion.,The formula 'F_net = ma' relates key measurable physical quantities in Laws of Motion.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Motion.,5,"N, kg, m/s^2",F_net = ma,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Motion.
575,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,2,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
576,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 6.90 kg of water by 76°C.,Q = mcΔT = 6.90 × 4.18 × 76 = 2191.14 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",5,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
577,Mechanics,Kinematics,Derive and explain the significance of the formula 's = ut + 0.5at^2' in Kinematics.,The formula 's = ut + 0.5at^2' relates key measurable physical quantities in Kinematics.,The formula comes from theoretical derivation or experimental observation in the domain of Kinematics.,2,"m, s",s = ut + 0.5at^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Kinematics.
578,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 6.01 kg of water by 36°C.,Q = mcΔT = 6.01 × 4.18 × 36 = 904.25 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",3,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
579,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,4,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
580,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
581,Mechanics,Dynamics,Calculate the force required to accelerate a 11 kg object at 9.34 m/s².,F = ma = 11 × 9.34 = 102.75 N,Newton's Second Law relates force with mass and acceleration.,4,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
582,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,2,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
583,Optics,Reflection,Derive and explain the significance of the formula 'i = r' in Reflection.,The formula 'i = r' relates key measurable physical quantities in Reflection.,The formula comes from theoretical derivation or experimental observation in the domain of Reflection.,3,degrees,i = r,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Reflection.
584,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
585,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
586,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,4,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
587,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'P = VI' in Current Electricity.,The formula 'P = VI' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",P = VI,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
588,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 1.22 kg of water by 61°C.,Q = mcΔT = 1.22 × 4.18 × 61 = 310.47 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",3,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
589,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,4,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
